	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
160	24.0	54.0	1	0	100000.0	1.0	1	0	1	0	0	0	0	1
161	18.0	45.0	0	0	100000.0	1.0	1	0	1	0	0	1	0	0
162	2.0	23.0	0	1	80000.0	0.0	1	0	1	0	0	0	1	0
163	15.0	31.0	0	0	30000.0	1.0	1	0	1	0	0	0	0	0
164	19.0	39.0	1	0	60000.0	1.0	1	0	1	1	0	1	0	0
165	22.0	44.0	1	1	100000.0	1.0	1	0	1	0	0	0	1	0
166	12.0	32.0	1	0	50000.0	1.0	1	0	0	1	0	1	0	0
167	24.0	46.0	0	0	230000.0	1.0	1	0	1	0	0	0	0	0
168	19.0	42.0	1	0	150000.0	1.0	1	0	1	1	1	1	0	0
169	15.0		0	0	183260.0	1.0	1	0	1	1	0	1	0	0
170	16.0	33.0	1	1	140000.0	1.0	1	0	0	1	0	1	0	0
171	26.0	53.0	1	0	85000.0	1.0	1	0	1	0	0	0	0	0
172	17.0	37.0	1	0	120000.0	1.0	1	0	0	1	0	1	1	0
173	13.0	36.0	0	0	290000.0	1.0	1	0	1	0	0	0	0	0
174	15.0		1	1	25000.0	1.0	1	0	1	0	0	0	0	0
175	17.0	43.0	0	1	350000.0	1.0	1	0	1	0	0	0	0	0
176	29.0	45.0	0	1	150000.0	1.0	1	0	1	0	0	0	1	0
177	18.0	40.0	1	0	20000.0	1.0	0	0	1	0	0	0	0	0
178	17.0	34.0	1	0	80000.0	1.0	1	0	1	0	0	1	1	0
179	3.0	61.0	1	1	80000.0	0.0	1	0	1	0	1	1	0	0
180	22.0	44.0	0	1	20000.0	1.0	1	0	1	1	0	0	0	0
181	12.0	35.0	1	1	240000.0	1.0	1	0	1	0	0	1	0	0
182	16.0		0	0	70000.0	0.0	1	0	1	1	0	1	1	0
183	26.0	48.0	1	1	199000.0	1.0	1	0	1	1	0	1	0	0
184	32.0	52.0	1	1	140000.0	1.0	1	0	1	1	0	1	0	0
185	8.0	30.0	1	0	45000.0	0.0	1	0	1	0	0	0	0	0
186	9.0	32.0	1	0	350000.0	1.0	1	0	1	0	0	1	0	0
187	35.0	58.0	1	0	100000.0	1.0	1	0	1	0	0	1	0	0
188	7.0	29.0	0	1	50000.0	1.0	1	0	1	0	1	1	1	0
189	4.0	22.0	0	0	60000.0	1.0	1	0	1	1	1	1	0	0
190	9.0	31.0	0	1	229075.0	1.0	1	0	1	0	0	1	0	0
191	25.0	51.0	0	1	250000.0	1.0	1	0	1	0	0	0	0	0
192	17.0	39.0	1	0	5000.0	1.0	1	0	1	0	0	0	0	0
193	20.0	41.0	1	0	127800.0	1.0	1	0	1	1	0	0	0	0
194	12.0	40.0	1	0	50000.0	1.0	1	0	1	0	0	1	0	0
195	17.0	38.0	0	0	30000.0	1.0	1	0	1	0	0	0	0	0
196	16.0	36.0	1	0	40000.0	1.0	1	0	1	0	0	0	0	0
197	4.0	39.0	1	0	72000.0	1.0	1	0	0	0	0	1	1	0
198	13.0	32.0	1	0	105000.0	1.0	1	0	1	1	0	0	1	0
199	3.0	22.0	0	1	100000.0	1.0	1	0	1	0	0	0	0	0
200	1.0	24.0	1	0	50000.0	1.0	1	0	1	0	0	0	1	0
201	13.0	53.0	0	1	30000.0	1.0	1	0	1	1	0	1	0	0
202	15.0	36.0	0	0	15000.0	1.0	1	0	1	0	0	0	0	0
203	12.0	35.0	1	0	15000.0	1.0	0	0	1	0	0	0	0	0
204	33.0	57.0	1	1	80000.0	1.0	1	0	1	1	0	1	0	1
205	13.0	36.0	1	1	50000.0	1.0	1	0	0	0	0	1	0	0
206	8.0	32.0	1	0	150000.0	1.0	1	0	1	0	0	0	0	0
207	12.0	37.0	0	0	75000.0	1.0	0	0	1	0	0	0	0	1
208	7.0	31.0	1	0	130000.0	1.0	1	0	1	0	0	0	0	0
209	23.0	50.0	1	1	240000.0	1.0	1	0	1	1	0	1	0	0
210	17.0	38.0	1	1	80000.0	1.0	1	0	1	0	0	0	0	0
211	10.0	33.0	0	0	20000.0	1.0	1	0	1	1	1	1	0	1
212	28.0	52.0	1	0	30000.0	1.0	1	0	1	0	0	0	0	0
213	6.0	30.0	0	0	35000.0	1.0	1	0	1	1	0	0	0	0
214	31.0	79.0	1	0	15000.0	1.0	1	0	1	0	0	0	0	0
215	12.0	37.0	1	0	80000.0	1.0	1	0	1	0	1	0	0	0
216	31.0	54.0	1	1	80000.0	1.0	1	0	1	0	0	0	0	0
217	10.0	38.0	1	0	30000.0	1.0	1	0	1	0	0	0	0	0
218	18.0	40.0	1	0	229075.0	1.0	1	0	1	1	0	1	0	0
